timestamp,best_ofi,multi_ofi,integrated_ofi,cross_asset_ofi
2024-10-21 11:54:00+00:00,-470.0,20.563573647268793,-49.46793031740032,
2024-10-21 11:55:00+00:00,-1217.0,24.609559956409004,-247.94969251187445,
2024-10-21 11:56:00+00:00,334.0,21.427159116834392,-829.5170550328099,
2024-10-21 11:57:00+00:00,960.0,17.048592054713556,586.0527226466503,
2024-10-21 11:58:00+00:00,615.0,44.85362453531598,-306.5544955798616,
2024-10-21 11:59:00+00:00,372.0,35.783209351753456,-708.4261779681875,
2024-10-21 12:00:00+00:00,620.0,21.609717042240487,116.75944711077516,
2024-10-21 12:01:00+00:00,-798.0,41.7218347696003,-201.415785889592,
2024-10-21 12:02:00+00:00,-1000.0,12.663115060252808,330.1704668038018,
2024-10-21 12:03:00+00:00,-449.0,13.231627906976744,446.18040813251383,
2024-10-21 12:04:00+00:00,147.0,-1.0224935732647815,382.8609309662417,
2024-10-21 12:05:00+00:00,185.0,41.52963697715811,198.92816818166767,
2024-10-21 12:06:00+00:00,-3741.0,10.89106254268709,416.0637955331995,
2024-10-21 12:07:00+00:00,-950.0,5.509578671824199,-2133.0049038782654,
2024-10-21 12:08:00+00:00,978.0,18.412979260733145,1326.8863301486533,
2024-10-21 12:09:00+00:00,203.0,44.7635704314619,1185.6651173052771,
2024-10-21 12:10:00+00:00,9.0,61.26045400238949,-154.85445010045822,
2024-10-21 12:11:00+00:00,-1.0,19.454365018965106,12317.769333519886,
2024-10-21 12:12:00+00:00,-1438.0,18.118528523934433,1114.833453505851,
2024-10-21 12:13:00+00:00,-920.0,6.934225294005437,-2668.741370513645,
2024-10-21 12:14:00+00:00,-22.0,22.84022317670058,1994.794991380515,
2024-10-21 12:15:00+00:00,-2481.0,-18.574112863922387,4383.342374269704,
2024-10-21 12:16:00+00:00,-4206.0,7.855359654540643,-2679.7490011105583,
2024-10-21 12:17:00+00:00,-1677.0,22.77146398090164,-528.1914506781511,
2024-10-21 12:18:00+00:00,-3100.0,19.78708339838715,-926.3429356988735,
2024-10-21 12:19:00+00:00,-3050.0,11.213916758233296,512.2378913430151,
2024-10-21 12:20:00+00:00,-1995.0,28.82381468203429,722.6110768927203,
2024-10-21 12:21:00+00:00,0.0,17.251431830523178,34.96550474894273,
2024-10-21 12:22:00+00:00,141.0,-11.57212809290636,2363.539335900238,
2024-10-21 12:23:00+00:00,-464.0,1.3728570537996385,-2356.6475009929914,
2024-10-21 12:24:00+00:00,-178.0,4.299191766484475,1896.0988242561723,
2024-10-21 12:25:00+00:00,84.0,37.293956126309226,-2332.6853493206645,
2024-10-21 12:26:00+00:00,337.0,11.711216284402205,-3871.305595878043,
2024-10-21 12:27:00+00:00,24.0,8.196796161856696,-1900.4865786638454,
2024-10-21 12:28:00+00:00,-593.0,-7.0706248808085945,-1872.9693739553713,
2024-10-21 12:29:00+00:00,-1018.0,29.52447235961124,-3517.742293311918,
2024-10-21 12:30:00+00:00,-1410.0,-13.965149867991926,3726.766471521907,
2024-10-21 12:31:00+00:00,-3621.0,-11.542811618840311,1150.2482918646147,
2024-10-21 12:32:00+00:00,-4012.0,20.29747757417772,-268.0127167752577,
2024-10-21 12:33:00+00:00,-2375.0,-5.245914329117843,-788.9454127558992,
2024-10-21 12:34:00+00:00,-4642.0,-5.7514720550854275,2859.048528432688,
